1907,1923,1898,1902,0
dawn/dusk,night (nocturnal),midday,friday night,3
1982,2009,2019,2022,3
1991,2001,2003,2004,0
Johnny Hekker,Darrin Laufasa,Leon Johnson III,Jacob Sirmon,1
1300s,1500s,1700s,1800s,0
Horizon,The Last of Us,Tetris,Destiny,2
Lyndon B. Johnson,George Washington,Calvin Coolidge,Anthony Hopkins,3
Marie Curie,Rosalind Franklin,Edwin Hubble,Dmitri Mendeleev,0
Queen Anne's lace,Ficus Elastica,Corpse Flower,Daylily,0
Pythagorean,Big Bang,Green's,Mean Value,1
Hamlet,Dutchman,The Oresteia,Arcadia,0
2034,2024,2017,2011,0
Vincent van Gogh,Michelangelo,Pablo Picasso,Leonardo da Vinci,3
ABBA,One Direction,The Beatles,Backstreet Boys,2
California,Summertime Sadness,Coffee,Arcadia,1
Triton,Neptune,Hades,Zeus,3
Pluto,Neptune,Earth,Saturn,2
1,3,6,9,2
Red Squirrel,Unicorn,Wildcat,Kangaroo,1
1989,1995,1978,1980,0
1024,81,1444,45,0
Sonnet,Haiku,Ballad,Simile,3
Winston Churchill,Winston Smith,George Orwell,Big Brother,1
18,22,15,16,0
Earth club,Robotics club,Dance club,Chess club,2
Dogtown,Embarrass,Santa Claus,Atlantis,3
Sunny,Cloudy,Thunder storms,Dust storms,1
Duke,Stanford,U of Pennsylvania,U of Washington,2
Bothell Weekly,Cougar Cast,Catamount,Blue Cats,2
